"Node","X","Y","Z","Displacement in X","Displacement in Y","Displacement in Z","Displacement Magnitude"
1,0,0,0,0,0,0,0
2,0,0,25,0,0,0,0
3,25,0,25,0,0,0,0
4,25,0,0,0,0,0,0
5,0,10,0,-3.24329150796308E-07,-4.43173828640128E-07,-3.50046957106202E-07,6.51249040403988E-07
6,0,10,25,-6.21915720026475E-08,-7.59077688945387E-08,-6.40186805727237E-08,1.17167284123938E-07
7,25,10,25,-2.30796397299906E-07,4.00812026872414E-07,-2.53273027868102E-07,5.27318200461226E-07
8,25,10,0,3.00656636725921E-08,-5.18538997996256E-08,-6.1985121546209E-08,8.62260189826791E-08
9,10,30,5,-1.23256566421672E-06,-8.30498703830315E-07,-1.43476360281264E-06,2.06579108566809E-06
10,10,30,20,-1.42903347907244E-06,-1.47618968846364E-08,-1.3740991396553E-06,1.98254963204227E-06
11,20,30,5,-1.20898187234171E-06,-2.36692743338034E-07,-1.18890943299888E-06,1.71206491181656E-06
12,20,30,20,-1.43438539286406E-06,6.84839177982713E-07,-1.14439615894241E-06,1.95859866321918E-06
13,10,80,5,-4.337612859081E-06,-9.29788824649383E-07,-5.53156707366548E-06,7.09067182036849E-06
14,10,80,20,-5.83442074158344E-06,-1.17833005531803E-07,-5.5305435236662E-06,8.03997895980941E-06
15,20,80,20,-5.81612287475852E-06,1.90489027239467E-07,-4.46803767352773E-06,7.3366839931846E-06
16,20,80,5,-4.31454622838023E-06,-6.47734797914354E-07,-4.49443356801906E-06,6.26376904288431E-06
17,0,0,250,0,0,0,0
18,0,0,275,0,0,0,0
19,25,0,275,0,0,0,0
20,25,0,250,0,0,0,0
21,0,10,250,-3.76402615752712E-06,-2.18938692406809E-06,-1.24465610943495E-06,4.52884939566138E-06
22,0,10,275,-3.57693923021869E-06,-1.89295379779524E-06,7.88421186017106E-07,4.12302999065318E-06
23,25,10,275,-4.2111889239304E-06,2.17221796524749E-06,-1.12430821236097E-06,4.86998069790429E-06
24,25,10,250,-3.96736334710232E-06,1.78127820712395E-06,7.66836796646649E-07,4.41598943067089E-06
25,10,30,255,-1.43694411080835E-05,-1.70320107307616E-06,-1.43804631837734E-06,1.45413104247109E-05
26,10,30,270,-1.46151521467136E-05,-9.40372807566812E-07,-9.0880408138629E-07,1.46735441576718E-05
27,20,30,255,-1.51041846159681E-05,2.23013190872426E-06,-7.38014342011565E-07,1.52857628665557E-05
28,20,30,270,-1.54310490540819E-05,3.05686719403101E-06,-1.19076011267221E-06,1.57759190412906E-05
29,10,80,255,-3.245949809231E-05,-1.82516398658911E-07,-5.60058390769389E-06,3.29396245993723E-05
30,10,80,270,-3.40974519060893E-05,5.07041739750944E-07,-5.64983482420062E-06,3.45660809371655E-05
31,20,80,270,-3.40165367057534E-05,9.995653505176E-07,-4.56956797789083E-06,3.43366400780331E-05
32,20,80,255,-3.23893845950711E-05,3.70234673251193E-07,-4.5900774119129E-06,3.27151053614085E-05
33,125,0,0,0,0,0,0
34,125,0,25,0,0,0,0
35,100,0,25,0,0,0,0
36,100,0,0,0,0,0,0
37,125,10,0,-2.72031176615783E-07,4.02714509194998E-07,3.29852584899792E-07,5.87352249278242E-07
38,125,10,25,-1.59957561222824E-09,2.23215190086774E-08,1.02060592409872E-07,1.04485278274253E-07
39,100,10,25,-1.71038246752561E-07,-3.60556133608541E-07,2.39221411957709E-07,4.65275930254263E-07
40,100,10,0,9.88264572604212E-08,1.05840238604066E-07,9.50061048346153E-08,1.73190602280428E-07
41,115,30,5,-8.98331552999581E-07,8.37179274485897E-07,1.49796016768899E-06,1.93694434115341E-06
42,115,30,20,-1.09810331430538E-06,-4.99367523658139E-09,1.41697075302685E-06,1.79266894339538E-06
43,105,30,5,-8.58158459208623E-07,2.93542342506952E-07,1.21747698725125E-06,1.51817431885873E-06
44,105,30,20,-1.08750621680802E-06,-6.48172318107148E-07,1.19974333451318E-06,1.74418496561153E-06
45,115,80,5,-4.68098362648662E-06,1.44824420362503E-06,5.64545152509811E-06,7.47530212814184E-06
46,115,80,20,-6.11468885355456E-06,6.25567922734519E-07,5.65994323800591E-06,8.35557972011443E-06
47,105,80,20,-6.05781325208512E-06,-5.55062114481946E-07,4.55151172652622E-06,7.59746367841116E-06
48,105,80,5,-4.61113358711252E-06,2.59711177371941E-07,4.57347246919402E-06,6.49974255492668E-06
49,125,0,250,0,0,0,0
50,125,0,275,0,0,0,0
51,100,0,275,0,0,0,0
52,100,0,250,0,0,0,0
53,125,10,250,-1.00618176698383E-06,9.73655342369597E-07,6.76961675148032E-07,1.55521174878368E-06
54,125,10,275,-8.20560534169444E-07,6.89879157372167E-07,-2.49807445635889E-07,1.10075274331164E-06
55,100,10,275,-8.80224187703165E-07,-9.23019370309636E-07,5.6809621489601E-07,1.39624234571355E-06
56,100,10,250,-6.5093703263593E-07,-5.43898164503105E-07,-2.21555902690272E-07,8.76716175180781E-07
57,115,30,255,-4.33018734437087E-06,1.97168663194735E-06,1.24314342516212E-06,4.91766979243964E-06
58,115,30,270,-4.54895033763201E-06,1.223987179613E-06,9.78748994263776E-07,4.81134527797286E-06
59,105,30,255,-4.31653798188708E-06,-1.33754670404379E-06,8.21503626540192E-07,4.593081704367E-06
60,105,30,270,-4.61420054792588E-06,-2.13650714784016E-06,1.0597495981527E-06,5.19409074815183E-06
61,115,80,255,-3.27494702795148E-05,2.33592893251256E-06,5.45526804321291E-06,3.32827931067973E-05
62,115,80,270,-3.43066516832972E-05,1.51674815311026E-06,5.65107106758449E-06,3.48020326833065E-05
