"Node","X","Y","Z","Displacement in X","Displacement in Y","Displacement in Z","Displacement Magnitude"
1,0,0,0,0,0,0,0
2,0,0,25,0,0,0,0
3,25,0,25,0,0,0,0
4,25,0,0,0,0,0,0
5,0,10,0,-2.70673312020527E-07,-3.36901370143478E-07,-2.77041484884349E-07,5.13340588100765E-07
6,0,10,25,-8.3050670961029E-08,-9.15392534648423E-08,-1.74615412577728E-08,1.2482689732215E-07
7,25,10,25,-1.94700031826614E-07,2.93834517067356E-07,-1.73075083656502E-07,3.9268538347664E-07
8,25,10,0,-1.12115701369345E-08,-4.16801845138368E-08,-6.01649527494091E-08,7.4045652305733E-08
9,10,30,5,-9.77623884012271E-07,-6.30409589176366E-07,-1.01123573311396E-06,1.54135084151639E-06
10,10,30,20,-1.1827022592393E-06,-1.11854588251E-07,-9.62925998693236E-07,1.52922286207142E-06
11,20,30,5,-9.61150843148939E-07,-1.99366210944651E-07,-9.15386989223499E-07,1.34219639747393E-06
12,20,30,20,-1.17107222207291E-06,4.43787373421944E-07,-8.72824519495684E-07,1.52649271991464E-06
13,10,80,5,-3.26433731923623E-06,-6.6577630595064E-07,-3.58068746416156E-06,4.89085666722379E-06
14,10,80,20,-4.28235170054664E-06,-2.18200133412744E-07,-3.56074695688745E-06,5.57360442410289E-06
15,20,80,20,-4.24341843492387E-06,-2.48026909975802E-07,-2.87357840102326E-06,5.13084497804712E-06
16,20,80,5,-3.2623368400253E-06,-5.62506837612042E-07,-2.89992983280929E-06,4.40100541187624E-06
17,0,0,250,0,0,0,0
18,0,0,275,0,0,0,0
19,25,0,275,0,0,0,0
20,25,0,250,0,0,0,0
21,0,10,250,-3.57137253853007E-06,-1.94158050274284E-06,-1.02802670594915E-06,4.19300316786697E-06
22,0,10,275,-3.37380628866906E-06,-1.66221448542793E-06,7.41945566578498E-07,3.83353741246838E-06
23,25,10,275,-4.03928524430266E-06,1.85959425533863E-06,-9.07532463157009E-07,4.53845031382006E-06
24,25,10,250,-3.8529926458222E-06,1.54276464476097E-06,6.78581789259688E-07,4.20549025948215E-06
25,10,30,255,-1.33981297497809E-05,-8.81123087513622E-07,-1.1660538708764E-06,1.34776088501299E-05
26,10,30,270,-1.34898113222914E-05,-2.98576147321178E-07,-9.51000748097481E-07,1.35265871397649E-05
27,20,30,255,-1.40965329509417E-05,1.28815725791736E-06,-7.96122281689925E-07,1.4177637357667E-05
28,20,30,270,-1.41931576671691E-05,1.89807566613319E-06,-8.97626264817889E-07,1.43476182243179E-05
29,10,80,255,-2.12782360241512E-05,-1.17173520905155E-07,-3.66835855022667E-06,2.15924503562359E-05
30,10,80,270,-2.23748008827006E-05,3.23330031905652E-07,-3.69354695536353E-06,2.26799150342656E-05
31,20,80,270,-2.231662222349E-05,4.5266893558307E-07,-2.98989690993728E-06,2.25205688241497E-05
32,20,80,255,-2.12170342816221E-05,-7.26250212835656E-08,-2.97549797707752E-06,2.14247848603629E-05
33,125,0,0,0,0,0,0
34,125,0,25,0,0,0,0
35,100,0,25,0,0,0,0
36,100,0,0,0,0,0,0
37,125,10,0,-2.53699175465404E-07,3.25116013414337E-07,2.76434151802112E-07,4.96467052373881E-07
38,125,10,25,-5.17410429301022E-08,5.85901853397858E-08,4.14845045585086E-08,8.8492426004207E-08
39,100,10,25,-1.66157023989781E-07,-2.74526867972093E-07,1.61987321255018E-07,3.59462167838402E-07
40,100,10,0,1.87925095377183E-08,6.80500227585064E-08,7.59374474109775E-08,1.03684424729336E-07
41,115,30,5,-8.31085433505833E-07,6.31410136265474E-07,1.09079674387352E-06,1.5097083474663E-06
42,115,30,20,-1.00673285189309E-06,1.14535767794622E-07,1.03488031188749E-06,1.44831168507247E-06
43,105,30,5,-8.03006590504462E-07,2.40093812823956E-07,9.37340251992293E-07,1.25740660542043E-06
44,105,30,20,-9.89182717712451E-07,-4.4262891434466E-07,9.09686339073735E-07,1.41489647689585E-06
45,115,80,5,-3.64503565461726E-06,1.06246725870526E-06,3.64690597195905E-06,5.26450802711538E-06
46,115,80,20,-4.6718756616097E-06,5.69998223443689E-07,3.60121282581844E-06,5.92621751112033E-06
47,105,80,20,-4.57001964961779E-06,1.63725190207474E-08,2.95055254536963E-06,5.43977094924584E-06
48,105,80,5,-3.60074668361357E-06,2.64338412332019E-07,2.9497497278752E-06,4.66221781268188E-06
49,125,0,250,0,0,0,0
50,125,0,275,0,0,0,0
51,100,0,275,0,0,0,0
52,100,0,250,0,0,0,0
53,125,10,250,-8.08801390509692E-07,1.06598924183347E-06,6.35084630584309E-07,1.48115672398282E-06
54,125,10,275,-6.27328447747101E-07,8.17724660967593E-07,-3.86609109680284E-07,1.10076391937378E-06
55,100,10,275,-6.08656962029273E-07,-9.60033146886851E-07,5.75569869461722E-07,1.27413014059803E-06
56,100,10,250,-4.22823489767594E-07,-6.46010749972376E-07,-3.4022457774307E-07,8.43719358483357E-07
57,115,30,255,-5.1515565786925E-06,1.60021392851161E-06,9.86020346616783E-07,5.48374469905509E-06
58,115,30,270,-5.28903925607869E-06,1.00447671039398E-06,9.07636290467598E-07,5.45955248622441E-06
59,105,30,255,-5.15491629545307E-06,-1.11445335488277E-06,8.41861005813638E-07,5.3407769328485E-06
60,105,30,270,-5.27592225533144E-06,-1.65342758935617E-06,8.35784301155924E-07,5.59175409291257E-06
61,115,80,255,-2.12443167882788E-05,1.41218097593565E-06,3.50398088913966E-06,2.15776072116672E-05
62,115,80,270,-2.21831042743206E-05,9.88349063098316E-07,3.57249226511295E-06,2.24906569512809E-05
