"Node","X","Y","Z","Displacement in X","Displacement in Y","Displacement in Z","Displacement Magnitude"
1,0,0,0,0,0,0,0
2,0,0,25,0,0,0,0
3,25,0,25,0,0,0,0
4,25,0,0,0,0,0,0
5,0,10,0,-1.14848082772771E-06,-1.49748082584582E-06,-7.73795123307098E-07,2.03966073852684E-06
6,0,10,25,-1.33653462687493E-06,-1.75408859740817E-06,1.00292829264101E-06,2.42260536955008E-06
7,25,10,25,-7.44973399515161E-07,1.15564753739586E-06,-6.19242669538764E-07,1.50796819610089E-06
8,25,10,0,-9.37898346029992E-07,1.48098276554601E-06,8.70596337783717E-07,1.95726882228592E-06
9,10,30,5,-8.93339051041358E-06,-1.99837217612425E-06,8.78297900799255E-07,9.19621468694611E-06
10,10,30,20,-8.81118558796496E-06,-2.66227526432273E-06,1.0420578221952E-06,9.26340032349807E-06
11,20,30,5,-8.90163732573167E-06,2.40583086437778E-06,8.47521229074345E-07,9.2598845273893E-06
12,20,30,20,-8.80398751825547E-06,1.89826171330486E-06,9.03068430061156E-07,9.05147094914249E-06
13,10,80,5,-3.64529068373368E-05,-2.1443558479552E-06,3.66792208620409E-06,3.66996775370667E-05
14,10,80,20,-3.54695889586784E-05,-2.58980365165701E-06,3.5651730667083E-06,3.57422618596993E-05
15,20,80,20,-3.52861279355017E-05,-2.95183299108761E-07,2.99128035320609E-06,3.54139198058072E-05
16,20,80,5,-3.63079079480325E-05,3.75021074360536E-07,2.93944219800577E-06,3.64286307841021E-05
17,0,0,250,0,0,0,0
18,0,0,275,0,0,0,0
19,25,0,275,0,0,0,0
20,25,0,250,0,0,0,0
21,0,10,250,-2.61215247898229E-06,-1.34102721094158E-06,-5.87967693685538E-07,2.99456183151341E-06
22,0,10,275,-2.82215317937004E-06,-1.60175445744076E-06,9.22033118647357E-07,3.3734716512285E-06
23,25,10,275,-2.95378810718814E-06,1.15807756602165E-06,-4.78019525930139E-07,3.2085059604525E-06
24,25,10,250,-3.14313938287338E-06,1.52989894517995E-06,7.29542974056015E-07,3.57101510968896E-06
25,10,30,255,-1.08296487950457E-05,-3.90671547900316E-07,9.78206803658243E-07,1.08807539184147E-05
26,10,30,270,-1.05860227300444E-05,-8.94057790995378E-07,1.17038639169709E-06,1.06879848839959E-05
27,20,30,255,-1.13582317189026E-05,1.60679046439115E-06,1.02115617969797E-06,1.15166819579286E-05
28,20,30,270,-1.11061117361666E-05,8.71130961095632E-07,9.89141769820397E-07,1.11840506297317E-05
29,10,80,255,-1.8627641470243E-05,1.75711365001477E-07,3.68224663850743E-06,1.8988913648087E-05
30,10,80,270,-1.75393747574337E-05,-2.78765190047289E-07,3.73447700078721E-06,1.79347064481773E-05
31,20,80,270,-1.75132027413479E-05,-2.84536727044567E-07,3.03458259414983E-06,1.77764429211614E-05
32,20,80,255,-1.85202710564732E-05,-1.25582819939362E-07,3.03109016634228E-06,1.87670913741687E-05
33,125,0,0,0,0,0,0
34,125,0,25,0,0,0,0
35,100,0,25,0,0,0,0
36,100,0,0,0,0,0,0
37,125,10,0,-2.99850644823465E-06,2.17724705106758E-06,1.08617542383937E-06,3.86150523667131E-06
38,125,10,25,-3.19125575716012E-06,2.47323555796874E-06,-1.36186749900038E-06,4.26094948546003E-06
39,100,10,25,-2.73735370728394E-06,-1.87114132139698E-06,9.29047248498991E-07,3.44345813875585E-06
40,100,10,0,-2.92064110971181E-06,-2.17637913168869E-06,-1.15951437467834E-06,3.82246572275989E-06
41,115,30,5,-1.54159359130047E-05,1.64874910729457E-06,-9.32313932220242E-07,1.55318596105194E-05
42,115,30,20,-1.54009051687713E-05,2.28129307172879E-06,-1.24846827304815E-06,1.56189260554435E-05
43,105,30,5,-1.51460860058199E-05,-2.64700983486893E-06,-7.91993418531049E-07,1.5396033123392E-05
44,105,30,20,-1.50877109895963E-05,-2.07466303248513E-06,-8.44804476305078E-07,1.52530962170679E-05
45,115,80,5,-3.73665281681843E-05,1.41623273888003E-06,-3.73615106539255E-06,3.75795418718459E-05
46,115,80,20,-3.61693481523686E-05,1.84116195624715E-06,-3.70013593938673E-06,3.64047061392662E-05
47,105,80,20,-3.59323836456987E-05,8.31286708576158E-07,-2.98634220009317E-06,3.60658491067323E-05
48,105,80,5,-3.71682121126346E-05,1.8526644451135E-07,-3.0099009841591E-06,3.7290344852786E-05
49,125,0,250,0,0,0,0
50,125,0,275,0,0,0,0
51,100,0,275,0,0,0,0
52,100,0,250,0,0,0,0
53,125,10,250,-5.23426485310668E-07,6.76758183513388E-07,2.93958751277852E-07,9.0464836921859E-07
54,125,10,275,-7.25363439138247E-07,9.27760859122661E-07,-6.23252551082117E-07,1.33241737942315E-06
55,100,10,275,-3.5344988030638E-07,-4.67691879003659E-07,2.20016346276301E-07,6.26154696703091E-07
56,100,10,250,-5.40309899736862E-07,-8.24763123435926E-07,-4.59930545991975E-07,1.08798212516103E-06
57,115,30,255,-4.50865643607993E-06,9.29306883616574E-07,-9.93223934401151E-07,4.70936173238046E-06
58,115,30,270,-4.25661912742333E-06,1.40239856596937E-06,-1.09229873071009E-06,4.61287813093842E-06
59,105,30,255,-4.483387961027E-06,-1.40574341759989E-06,-9.45824501169629E-07,4.79285574081049E-06
60,105,30,270,-4.23715470352077E-06,-6.96899939772502E-07,-9.78927664396629E-07,4.40425349857886E-06
61,115,80,255,-1.8351196910427E-05,9.18331339334837E-07,-3.54425645607391E-06,1.8712870285461E-05
62,115,80,270,-1.72951502759531E-05,1.31313213743958E-06,-3.5370684856562E-06,1.77019036419928E-05
